Latitude,Longitude,Flux_10MeV,Flux_30MeV
-77.0,-51.0,0.0,0.0
-77.0,-48.0,0.0,0.0
-77.0,-45.0,0.0,0.0
-77.0,-42.0,0.0,0.0
-77.0,-39.0,0.0,0.0
-77.0,-36.0,0.0,0.0
-77.0,-33.0,0.0,0.0
-77.0,-30.0,0.0,0.0
-77.0,-27.0,0.0,0.0
-77.0,-24.0,0.0,0.0
-77.0,-21.0,0.0,0.0
-77.0,-18.0,0.0,0.0
-77.0,-15.0,0.0,0.0
-77.0,-12.0,0.0,0.0
-77.0,-9.0,0.0,0.0
-77.0,-6.0,0.0,0.0
-77.0,-3.0,0.0,0.0
-77.0,0.0,0.0,0.0
-77.0,3.0,0.0,0.0
